7.3,7,150.8
34,7.6,143.6
-20.3,6,157.6
57.5,21.2,134.3
32.7,33.9,138.9
5.5,34.7,145.9
-21.7,34.3,152.8
-44.8,19.3,157.3
-44,-8.4,157.9
-20.5,-22.5,154.1
6.5,-21.3,147.4
34.2,-19.9,140.1
57.9,-5.3,135.6
83.6,9.3,118.8
75.8,33.8,119.4
56.7,52.5,122.6
30.1,58.4,127.3
3,59.6,133.9
-24.2,60,140.6
-50.4,52.5,145.3
-69.6,31.6,149
-76.4,5.6,151
-68.2,-22.4,150.5
-47.5,-42,147.5
-21.5,-48.4,142.8
5.3,-47.3,136.6
33,-45,129.7
59.2,-37.4,124.7
77.4,-18.2,120.9
100.8,7.8,98.3
95.1,35.6,98.4
78.4,58.9,100.4
55.5,73.5,103.8
26.6,78.9,109.1
-0.2,80.4,115.2
-28,81.4,121.6
-56.6,74.9,126.5
-80.4,57.8,130.7
-95.9,32.9,134.1
-100.9,3.3,136.1
-94.4,-25.5,135.6
-77.5,-49.8,133.2
-52.8,-65.7,129.3
-23.9,-70.5,124.9
2.8,-68.6,119
30.8,-66,112.3
59,-59.4,107.5
81.3,-43.2,102.8
96.5,-19.8,99.6
111.6,8.2,72.3
104.2,41.2,72.6
84.5,69.5,75.1
56.4,87,79.7
21.7,93.4,85.7
-4.9,95.3,90.9
-32.1,96.4,96.9
-63.1,90.1,102.8
-90.2,73.4,107.3
-109.5,48.7,111.1
-119.4,18.5,113.9
-118.6,-13.5,114.7
-107,-43.2,113.6
-86.3,-67,110.4
-58.9,-82.1,106.6
-27.3,-87.2,101.1
-0.7,-84.8,96.1
26.5,-81.9,90.7
61,-74.2,85
88.5,-54.4,79.3
106.4,-25.8,75
114.9,6.9,46.5
109.3,36.8,46.2
95.2,62.7,48.3
73.9,83.1,51.3
48.1,95.6,55
17.8,100,60.2
-10,102.4,65.3
-37,104,70.4
-67.5,98.3,76.2
-94.8,83.2,81.1
-115.8,60.5,85
-128.8,32.4,87.8
-133.1,1.2,89.1
-126.9,-29.5,89.6
-112.3,-56.8,87.8
-89.9,-78.1,84.7
-62.3,-91.8,80.5
-31.6,-95.9,75.1
-4.9,-93.7,69.9
23,-90.3,64.7
53.1,-84.9,59.6
79,-70.6,54.9
99,-49,50.9
111.2,-22.6,48.2
52.7,93,24.9
27.2,100,29
-4,107.6,33.8
-29.5,109.4,37.9
-57,111.4,42.4
-87.6,92.2,48.3
-112.3,72.9,53.1
-129.6,47,57.1
-138.3,16.5,59.7
-137.6,-15,60.3
-127.2,-45.2,59.1
-108.2,-70.3,56.6
-82.8,-88.1,52.8
-50.6,-105.9,48.1
-23.7,-102.8,43.5
2.2,-100.1,38.8
32.4,-91.1,33.2
56.8,-83.7,29.4
39,96.2,2.6
15.8,99.8,2.4
-7.5,107.1,6.3
-34.4,109.3,10.8
-61.5,110.7,15.2
-91.9,91.9,20.6
-116.9,72.8,25.9
-135.1,46.9,30.5
-143.8,15.5,32.7
-142.9,-16.5,32.3
-132.7,-46.3,32
-113.3,-71.6,29.4
-88,-89.6,25.4
-55.5,-107.8,21
-28,-104.7,16.1
-1.9,-101.6,11.6
21.9,-93.4,7.2
44.3,-88.5,7.5
20.8,100.1,-22.2
-2.5,105.7,-22.1
-29.4,108.2,-17.8
-53.6,109.2,-14.2
-77.4,111.2,-11
-96.6,91.3,-6.1
-121.3,72.5,-1.9
-140,46.2,2.4
-148.8,15.2,4.8
-148,-16.5,4.3
-137.9,-46.8,3.8
-118.8,-72.5,1.2
-92.9,-90.9,-2.5
-72.5,-110.9,-5.9
-47.5,-107.9,-9.9
-22.4,-104.9,-14.6
2.6,-102,-18.3
27.1,-95.4,-18.7
